Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction,,,,,,,
1754422524,2025-08-05T19:35:24Z,N501RS,"29.523464,-98.465683",0,0,39,,,,05/08/2025 19:35,29.523464,-98.465683,0.015082551
1754423802,2025-08-05T19:56:42Z,N501RS,"29.52364,-98.465889",0,3,267,,,,05/08/2025 19:56,29.52364,-98.465889,0.017824479
1754423822,2025-08-05T19:57:02Z,N501RS,"29.523394,-98.46608",0,4,210,,,,05/08/2025 19:57,29.523394,-98.46608,0.017131271
1754423841,2025-08-05T19:57:21Z,N501RS,"29.523172,-98.466286",0,4,225,,,,05/08/2025 19:57,29.523172,-98.466286,0.014792483
1754423851,2025-08-05T19:57:31Z,N501RS,"29.52309,-98.466553",0,6,270,,,,05/08/2025 19:57,29.52309,-98.466553,0.012168393
1754423859,2025-08-05T19:57:39Z,N501RS,"29.523172,-98.466766",0,5,300,,,,05/08/2025 19:57,29.523172,-98.466766,0.014574254
1754423872,2025-08-05T19:57:52Z,N501RS,"29.523319,-98.466988",0,4,309,,,,05/08/2025 19:57,29.523319,-98.466988,0.015608479
1754423885,2025-08-05T19:58:05Z,N501RS,"29.523487,-98.467216",0,4,309,,,,05/08/2025 19:58,29.523487,-98.467216,0.017946855
1754423899,2025-08-05T19:58:19Z,N501RS,"29.523674,-98.467484",0,5,312,,,,05/08/2025 19:58,29.523674,-98.467484,0.015181355
1754423913,2025-08-05T19:58:33Z,N501RS,"29.523846,-98.467697",0,3,312,,,,05/08/2025 19:58,29.523846,-98.467697,0.013767293
1754423940,2025-08-05T19:59:00Z,N501RS,"29.523989,-98.467903",0,3,312,,,,05/08/2025 19:59,29.523989,-98.467903,0.017512398
1754423950,2025-08-05T19:59:10Z,N501RS,"29.524189,-98.468147",0,7,312,,,,05/08/2025 19:59,29.524189,-98.468147,0.020048688
1754423959,2025-08-05T19:59:19Z,N501RS,"29.524372,-98.468468",0,8,286,,,,05/08/2025 19:59,29.524372,-98.468468,0.014549624
1754423967,2025-08-05T19:59:27Z,N501RS,"29.524267,-98.468719",0,7,236,,,,05/08/2025 19:59,29.524267,-98.468719,0.018916952
1754423975,2025-08-05T19:59:35Z,N501RS,"29.524035,-98.468964",0,8,219,,,,05/08/2025 19:59,29.524035,-98.468964,0.027650004
1754423984,2025-08-05T19:59:44Z,N501RS,"29.523663,-98.469276",0,13,210,,,,05/08/2025 19:59,29.523663,-98.469276,0.019417459
1754423990,2025-08-05T19:59:50Z,N501RS,"29.523382,-98.46946",0,12,216,,,,05/08/2025 19:59,29.523382,-98.46946,0.01349959
1754423995,2025-08-05T19:59:55Z,N501RS,"29.523308,-98.469704",0,7,292,,,,05/08/2025 19:59,29.523308,-98.469704,0.012451748
1754424007,2025-08-05T20:00:07Z,N501RS,"29.52351,-98.46965",0,1,39,,,,05/08/2025 20:00,29.52351,-98.46965,0.016816638
1754424032,2025-08-05T20:00:32Z,N501RS,"29.52372,-98.469437",0,18,42,,,,05/08/2025 20:00,29.52372,-98.469437,0.075970805
1754424038,2025-08-05T20:00:38Z,N501RS,"29.524681,-98.468491",0,60,42,,,,05/08/2025 20:00,29.524681,-98.468491,0.207426784
1754424047,2025-08-05T20:00:47Z,N501RS,"29.527313,-98.465919",650,102,40,,,,05/08/2025 20:00,29.527313,-98.465919,0.302825866
1754424055,2025-08-05T20:00:55Z,N501RS,"29.531157,-98.462166",650,142,40,,,,05/08/2025 20:00,29.531157,-98.462166,0.358960471
1754424065,2025-08-05T20:01:05Z,N501RS,"29.535645,-98.457626",1000,145,41,,,,05/08/2025 20:01,29.535645,-98.457626,0.322319903
1754424072,2025-08-05T20:01:12Z,N501RS,"29.539677,-98.453552",1400,148,41,,,,05/08/2025 20:01,29.539677,-98.453552,0.331111017
1754424080,2025-08-05T20:01:20Z,N501RS,"29.543793,-98.449333",1700,157,41,,,,05/08/2025 20:01,29.543793,-98.449333,0.369200633
1754424088,2025-08-05T20:01:28Z,N501RS,"29.548462,-98.444733",2075,161,40,,,,05/08/2025 20:01,29.548462,-98.444733,0.351730567
1754424096,2025-08-05T20:01:36Z,N501RS,"29.55299,-98.44046",2500,164,39,,,,05/08/2025 20:01,29.55299,-98.44046,0.303022503
1754424103,2025-08-05T20:01:43Z,N501RS,"29.556839,-98.436707",2750,168,40,,,,05/08/2025 20:01,29.556839,-98.436707,0.438960425
1754424112,2025-08-05T20:01:52Z,N501RS,"29.562332,-98.43116",3125,173,41,,,,05/08/2025 20:01,29.562332,-98.43116,0.303986372
1754424118,2025-08-05T20:01:58Z,N501RS,"29.566086,-98.427254",3400,178,42,,,,05/08/2025 20:01,29.566086,-98.427254,0.37597454
1754424125,2025-08-05T20:02:05Z,N501RS,"29.570772,-98.422478",3825,183,41,,,,05/08/2025 20:02,29.570772,-98.422478,0.339475927
1754424132,2025-08-05T20:02:12Z,N501RS,"29.574963,-98.418114",4175,185,42,,,,05/08/2025 20:02,29.574963,-98.418114,0.105215406
1754424134,2025-08-05T20:02:14Z,N501RS,"29.57622,-98.41671",4300,185,45,,,,05/08/2025 20:02,29.57622,-98.41671,0.185341198
1754424137,2025-08-05T20:02:17Z,N501RS,"29.578175,-98.413963",4550,185,53,,,,05/08/2025 20:02,29.578175,-98.413963,0.099943385
1754424140,2025-08-05T20:02:20Z,N501RS,"29.579086,-98.412361",4650,186,61,,,,05/08/2025 20:02,29.579086,-98.412361,0.149244977
1754424142,2025-08-05T20:02:22Z,N501RS,"29.58013,-98.409767",4850,187,66,,,,05/08/2025 20:02,29.58013,-98.409767,0.154594705
1754424146,2025-08-05T20:02:26Z,N501RS,"29.580967,-98.406967",5025,190,73,,,,05/08/2025 20:02,29.580967,-98.406967,0.112816179
1754424148,2025-08-05T20:02:28Z,N501RS,"29.581387,-98.404861",5125,193,80,,,,05/08/2025 20:02,29.581387,-98.404861,0.1080402
1754424150,2025-08-05T20:02:30Z,N501RS,"29.581667,-98.402817",5225,196,84,,,,05/08/2025 20:02,29.581667,-98.402817,0.141994348
1754424152,2025-08-05T20:02:32Z,N501RS,"29.581787,-98.400101",5325,201,89,,,,05/08/2025 20:02,29.581787,-98.400101,0.168485652
1754424155,2025-08-05T20:02:35Z,N501RS,"29.581604,-98.396881",5450,204,94,,,,05/08/2025 20:02,29.581604,-98.396881,0.178976618
1754424158,2025-08-05T20:02:38Z,N501RS,"29.581108,-98.393501",5525,213,102,,,,05/08/2025 20:02,29.581108,-98.393501,0.154748617
1754424161,2025-08-05T20:02:41Z,N501RS,"29.58041,-98.390648",5600,217,106,,,,05/08/2025 20:02,29.58041,-98.390648,0.191599135
1754424164,2025-08-05T20:02:44Z,N501RS,"29.579199,-98.387253",5675,224,113,,,,05/08/2025 20:02,29.579199,-98.387253,0.187247421
1754424167,2025-08-05T20:02:47Z,N501RS,"29.577663,-98.384132",5750,230,120,,,,05/08/2025 20:02,29.577663,-98.384132,0.162274165
1754424169,2025-08-05T20:02:49Z,N501RS,"29.576033,-98.381653",5875,232,125,,,,05/08/2025 20:02,29.576033,-98.381653,0.192569773
1754424172,2025-08-05T20:02:52Z,N501RS,"29.573893,-98.378906",6050,236,133,,,,05/08/2025 20:02,29.573893,-98.378906,0.126913608
1754424174,2025-08-05T20:02:54Z,N501RS,"29.572403,-98.377182",6150,238,135,,,,05/08/2025 20:02,29.572403,-98.377182,0.166492936
